epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,491.731,0.40557,0.39355,0.93948,0.94263,0.9791,0.9736,0.93205,0.29245,0.3451,0.69624,0.000710949,0.000710949,0.000710949
39,504.509,0.43171,0.44626,0.94863,0.96403,0.9842,0.97144,0.93434,0.29176,0.33316,0.69902,0.00070765,0.00070765,0.00070765
40,517.265,0.42358,0.44088,0.95335,0.9561,0.99819,0.9714,0.93767,0.28224,0.32083,0.69131,0.000704351,0.000704351,0.000704351
41,531.349,0.42382,0.41939,0.93799,0.93878,0.97834,0.97467,0.92774,0.29683,0.38501,0.70287,0.000701053,0.000701053,0.000701053
42,544.605,0.39966,0.38726,0.93735,0.96364,0.99241,0.97459,0.93774,0.27591,0.30769,0.69579,0.000697754,0.000697754,0.000697754
43,558.323,0.41845,0.40128,0.95266,0.95407,0.99396,0.9748,0.94271,0.27676,0.31107,0.69415,0.000694455,0.000694455,0.000694455
44,572.466,0.40781,0.41995,0.94866,0.95277,0.9879,0.96908,0.9316,0.29361,0.33757,0.70525,0.000691157,0.000691157,0.000691157
45,586.795,0.40804,0.38734,0.94441,0.96428,0.99529,0.97024,0.93847,0.27972,0.30943,0.6868,0.000687858,0.000687858,0.000687858
46,600.765,0.3965,0.37971,0.92534,0.96756,0.99132,0.973,0.93898,0.27927,0.31187,0.68731,0.000684559,0.000684559,0.000684559
47,614.334,0.39593,0.38125,0.94078,0.96488,0.9902,0.97055,0.94693,0.25535,0.28964,0.68076,0.000681261,0.000681261,0.000681261
48,627.808,0.40027,0.3797,0.93771,0.96096,0.99436,0.97479,0.94407,0.28103,0.29557,0.69733,0.000677962,0.000677962,0.000677962
49,641.312,0.40241,0.3836,0.92712,0.9632,0.99217,0.96902,0.94257,0.24878,0.28792,0.67309,0.000674663,0.000674663,0.000674663
50,654.936,0.37347,0.35912,0.93446,0.9509,0.99122,0.97098,0.93194,0.283,0.31331,0.69316,0.000671365,0.000671365,0.000671365
51,668.481,0.38235,0.3689,0.92937,0.96589,0.98806,0.97158,0.94676,0.25439,0.2848,0.68104,0.000668066,0.000668066,0.000668066
52,681.969,0.40671,0.38735,0.94682,0.96744,0.99403,0.96983,0.93337,0.26554,0.30089,0.70858,0.000664767,0.000664767,0.000664767
