epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
178,2394.28,0.21773,0.2111,0.86918,0.97303,1,0.97174,0.96701,0.13979,0.17771,0.62912,0.000249134,0.000249134,0.000249134
179,2407.97,0.2321,0.21823,0.86916,0.9727,0.99831,0.9727,0.96908,0.13297,0.18461,0.62477,0.000245835,0.000245835,0.000245835
180,2421.26,0.23271,0.21728,0.87613,0.97145,0.99914,0.97302,0.96934,0.13061,0.16887,0.62062,0.000242536,0.000242536,0.000242536
181,2434.07,0.21889,0.21096,0.87299,0.97172,0.99976,0.97159,0.96763,0.13237,0.1772,0.62358,0.000239238,0.000239238,0.000239238
182,2446.81,0.22762,0.20907,0.8738,0.9724,0.99771,0.97066,0.96643,0.13188,0.16915,0.62505,0.000235939,0.000235939,0.000235939
183,2459.63,0.22133,0.20658,0.88254,0.97312,1,0.97164,0.96731,0.13604,0.17379,0.62735,0.00023264,0.00023264,0.00023264
184,2472.41,0.24452,0.22285,0.88612,0.97249,0.99909,0.97114,0.96637,0.13151,0.17705,0.62606,0.000229342,0.000229342,0.000229342
185,2485.28,0.22001,0.20405,0.86363,0.97279,1,0.97123,0.96854,0.12395,0.16962,0.62227,0.000226043,0.000226043,0.000226043
186,2498.09,0.22377,0.21042,0.8725,0.97243,1,0.97066,0.96653,0.12648,0.16885,0.62388,0.000222744,0.000222744,0.000222744
187,2510.93,0.21768,0.20058,0.86818,0.97292,1,0.97127,0.96648,0.13027,0.17295,0.62927,0.000219446,0.000219446,0.000219446
188,2523.79,0.21819,0.20807,0.87114,0.97214,0.99901,0.97114,0.96685,0.12688,0.17081,0.62457,0.000216147,0.000216147,0.000216147
189,2536.71,0.22012,0.20967,0.87622,0.97208,0.99957,0.97123,0.96789,0.12997,0.1715,0.62679,0.000212848,0.000212848,0.000212848
190,2549.77,0.22925,0.21498,0.88107,0.97285,0.99795,0.97123,0.96848,0.12618,0.17369,0.62306,0.000209549,0.000209549,0.000209549
191,2562.68,0.21537,0.20464,0.86048,0.97222,0.99941,0.97066,0.96648,0.12859,0.1727,0.62624,0.000206251,0.000206251,0.000206251
192,2575.62,0.221,0.20765,0.86919,0.97182,0.99939,0.97174,0.96761,0.12813,0.16859,0.62488,0.000202952,0.000202952,0.000202952
193,2588.53,0.2192,0.21635,0.86524,0.97232,0.99994,0.97114,0.96866,0.12961,0.17365,0.62489,0.000199653,0.000199653,0.000199653
194,2601.53,0.21161,0.20193,0.86873,0.97225,0.99987,0.97222,0.96841,0.13098,0.17488,0.62742,0.000196355,0.000196355,0.000196355
195,2614.45,0.2236,0.21,0.87386,0.97294,0.99705,0.97123,0.96667,0.12728,0.16684,0.62734,0.000193056,0.000193056,0.000193056
196,2627.45,0.21003,0.19861,0.85762,0.97152,0.99985,0.97061,0.96791,0.12081,0.16931,0.62182,0.000189757,0.000189757,0.000189757
197,2640.3,0.20771,0.20404,0.86507,0.97275,0.99732,0.97061,0.96746,0.11999,0.17168,0.6196,0.000186459,0.000186459,0.000186459
198,2653.27,0.21883,0.22641,0.87266,0.97217,0.99898,0.97172,0.96954,0.12007,0.1692,0.6203,0.00018316,0.00018316,0.00018316
199,2666.24,0.20555,0.20301,0.86743,0.9716,0.99879,0.97123,0.96785,0.124,0.17258,0.6204,0.000179861,0.000179861,0.000179861
200,2679.43,0.20428,0.19264,0.8579,0.97096,0.99938,0.97123,0.96775,0.11555,0.16709,0.615,0.000176563,0.000176563,0.000176563
201,2692.5,0.20892,0.20654,0.86664,0.9711,1,0.97132,0.96944,0.11516,0.16296,0.61502,0.000173264,0.000173264,0.000173264
202,2705.82,0.20877,0.20079,0.86632,0.97219,0.99988,0.97136,0.96928,0.11337,0.16562,0.61496,0.000169965,0.000169965,0.000169965
203,2718.76,0.20243,0.19182,0.85853,0.97241,1,0.97172,0.96972,0.11111,0.16439,0.61199,0.000166667,0.000166667,0.000166667
204,2731.52,0.20269,0.19491,0.85931,0.97198,0.99887,0.97127,0.9681,0.11652,0.16576,0.61391,0.000163368,0.000163368,0.000163368
205,2744.19,0.20939,0.18627,0.8613,0.97195,0.99969,0.97174,0.96862,0.11707,0.16386,0.61584,0.000160069,0.000160069,0.000160069
206,2757.04,0.19492,0.18649,0.85646,0.97211,0.99952,0.97066,0.96767,0.11643,0.1693,0.61551,0.000156771,0.000156771,0.000156771
207,2769.77,0.19737,0.18672,0.86467,0.97191,0.99949,0.97061,0.96753,0.11672,0.16778,0.61592,0.000153472,0.000153472,0.000153472
208,2782.47,0.19637,0.19139,0.86326,0.97177,0.99966,0.97127,0.96769,0.116,0.16415,0.61469,0.000150173,0.000150173,0.000150173
209,2795.19,0.20162,0.19029,0.86541,0.97188,0.99905,0.97061,0.96803,0.11404,0.16387,0.61344,0.000146875,0.000146875,0.000146875
210,2807.94,0.20735,0.19485,0.87481,0.97222,0.99904,0.97066,0.96838,0.11247,0.16432,0.61254,0.000143576,0.000143576,0.000143576
211,2820.7,0.20236,0.1903,0.86169,0.97244,0.9994,0.97174,0.96913,0.11168,0.16429,0.61403,0.000140277,0.000140277,0.000140277
212,2833.49,0.19539,0.20813,0.86199,0.97201,0.99871,0.97127,0.96907,0.11361,0.16326,0.615,0.000136979,0.000136979,0.000136979
213,2846.36,0.19404,0.18984,0.86723,0.9722,0.99895,0.97061,0.96832,0.11441,0.16578,0.61281,0.00013368,0.00013368,0.00013368
214,2859.34,0.20576,0.2007,0.86314,0.97194,0.99861,0.97061,0.96917,0.1179,0.16541,0.61452,0.000130381,0.000130381,0.000130381
215,2872.27,0.1882,0.18908,0.85185,0.97188,0.99871,0.97061,0.96853,0.11183,0.16168,0.61308,0.000127082,0.000127082,0.000127082
216,2885.19,0.19791,0.18626,0.86307,0.97242,0.9974,0.97123,0.96901,0.11297,0.16123,0.6146,0.000123784,0.000123784,0.000123784
217,2898.09,0.19035,0.18505,0.86233,0.97184,0.99909,0.97123,0.96904,0.11359,0.16452,0.61489,0.000120485,0.000120485,0.000120485
218,2910.97,0.19996,0.19384,0.86916,0.97161,0.99887,0.97061,0.96879,0.1114,0.16719,0.61348,0.000117186,0.000117186,0.000117186
219,2923.99,0.18956,0.18715,0.86303,0.97179,0.9994,0.97123,0.96891,0.1121,0.16595,0.61476,0.000113888,0.000113888,0.000113888
220,2936.93,0.19643,0.1921,0.85873,0.97197,0.99954,0.97061,0.96887,0.11062,0.16279,0.61389,0.000110589,0.000110589,0.000110589
221,2949.85,0.19415,0.18777,0.86092,0.97195,0.99971,0.97123,0.96905,0.11173,0.16357,0.61402,0.00010729,0.00010729,0.00010729
222,2962.74,0.19672,0.19357,0.86956,0.97218,0.99958,0.97061,0.96798,0.11064,0.16289,0.61404,0.000103992,0.000103992,0.000103992
223,2975.65,0.19802,0.19617,0.85759,0.97184,0.99964,0.97061,0.96803,0.10938,0.15898,0.61296,0.000100693,0.000100693,0.000100693
224,2988.61,0.17811,0.17421,0.85426,0.97285,1,0.97123,0.96906,0.11054,0.15987,0.61249,9.73944e-05,9.73944e-05,9.73944e-05
225,3001.59,0.1849,0.17761,0.85573,0.97295,0.99989,0.97061,0.96861,0.10901,0.1587,0.61203,9.40957e-05,9.40957e-05,9.40957e-05
226,3014.66,0.19875,0.19239,0.8666,0.97206,0.99946,0.97123,0.96875,0.10813,0.15876,0.61093,9.0797e-05,9.0797e-05,9.0797e-05
227,3027.41,0.19525,0.18678,0.86177,0.97262,0.99984,0.97061,0.96887,0.10893,0.15735,0.61193,8.74983e-05,8.74983e-05,8.74983e-05
228,3040.28,0.1901,0.18741,0.85705,0.97264,0.99974,0.97066,0.969,0.11015,0.15901,0.61335,8.41996e-05,8.41996e-05,8.41996e-05
229,3052.98,0.18351,0.18076,0.85394,0.97215,0.9996,0.97123,0.97003,0.10486,0.15638,0.61145,8.0901e-05,8.0901e-05,8.0901e-05
230,3065.86,0.18679,0.18507,0.85839,0.97212,0.99946,0.97123,0.96948,0.10328,0.15493,0.6107,7.76023e-05,7.76023e-05,7.76023e-05
231,3079.3,0.19799,0.20491,0.86678,0.97338,1,0.97061,0.96898,0.10366,0.15624,0.61056,7.43036e-05,7.43036e-05,7.43036e-05
232,3092.61,0.18405,0.17979,0.85938,0.97358,0.99967,0.97061,0.96895,0.10469,0.1583,0.61169,7.10049e-05,7.10049e-05,7.10049e-05
233,3105.94,0.19066,0.18435,0.85815,0.97231,0.99937,0.97123,0.96934,0.10626,0.15687,0.61294,6.77062e-05,6.77062e-05,6.77062e-05
234,3119.25,0.1846,0.17785,0.86338,0.97244,0.99967,0.97127,0.96938,0.10494,0.15883,0.61179,6.44076e-05,6.44076e-05,6.44076e-05
235,3132.53,0.18835,0.17776,0.85957,0.97222,0.99989,0.97127,0.9691,0.10546,0.15317,0.61163,6.11089e-05,6.11089e-05,6.11089e-05
236,3145.97,0.18563,0.18294,0.86077,0.97214,0.99987,0.97066,0.96898,0.10659,0.15263,0.61188,5.78102e-05,5.78102e-05,5.78102e-05
237,3159.58,0.17058,0.17579,0.85254,0.97255,0.99964,0.97123,0.96973,0.1056,0.15594,0.61139,5.45115e-05,5.45115e-05,5.45115e-05
238,3173.03,0.18267,0.17829,0.86255,0.97258,0.99932,0.97066,0.96881,0.10528,0.15435,0.61196,5.12128e-05,5.12128e-05,5.12128e-05
239,3186.52,0.17441,0.16669,0.85272,0.97257,0.99902,0.97066,0.96878,0.10537,0.15503,0.61182,4.79142e-05,4.79142e-05,4.79142e-05
240,3199.99,0.18512,0.19657,0.86291,0.97294,0.99928,0.97172,0.97022,0.10438,0.15817,0.61149,4.46155e-05,4.46155e-05,4.46155e-05
241,3212.26,0.13777,0.15039,0.81597,0.97226,0.99901,0.97061,0.96929,0.10497,0.15562,0.61066,4.13168e-05,4.13168e-05,4.13168e-05
242,3224.29,0.12431,0.12109,0.80554,0.97177,0.99916,0.97123,0.96936,0.10766,0.15556,0.60958,3.80181e-05,3.80181e-05,3.80181e-05
243,3236.53,0.12782,0.12346,0.81594,0.97177,0.99923,0.97172,0.97037,0.10726,0.15516,0.60912,3.47194e-05,3.47194e-05,3.47194e-05
244,3248.82,0.13449,0.13303,0.82637,0.97203,0.9995,0.97123,0.96873,0.10735,0.15673,0.61097,3.14208e-05,3.14208e-05,3.14208e-05
245,3261.45,0.12108,0.11784,0.80878,0.97214,0.99978,0.97123,0.96908,0.10802,0.1569,0.61185,2.81221e-05,2.81221e-05,2.81221e-05
246,3273.65,0.11665,0.11069,0.81194,0.97224,0.9999,0.97061,0.9682,0.10893,0.15701,0.61201,2.48234e-05,2.48234e-05,2.48234e-05
247,3285.98,0.12526,0.11967,0.8132,0.97217,1,0.97061,0.9682,0.10857,0.15696,0.61197,2.15247e-05,2.15247e-05,2.15247e-05
248,3298.11,0.11303,0.11168,0.80761,0.9722,1,0.97061,0.96852,0.1087,0.15684,0.61198,1.8226e-05,1.8226e-05,1.8226e-05
249,3310.44,0.11771,0.11493,0.80723,0.97231,1,0.97061,0.9687,0.10876,0.15854,0.6125,1.49274e-05,1.49274e-05,1.49274e-05
250,3322.69,0.11172,0.1087,0.79806,0.97238,1,0.97123,0.96939,0.10861,0.15792,0.61282,1.16287e-05,1.16287e-05,1.16287e-05
